query_length,tfidf_srcc,jaccard_srcc,ratcliff_srcc
43,0.1447371604873945,0.04507568878304835,0.6587277693915812
64,0.12035995848833549,0.6741049222184532,0.7478415811819192
48,0.15390440327350158,0.6885954898488917,0.3729699095048
38,0.19060938739632305,0.2836589609482867,0.04670190938806289
55,0.4778286757964305,0.052254492354188296,0.8304946161837171
46,0.020093711029103584,0.7502379276560094,0.9949797739432688
45,0.46322334549333766,0.9548057931768046,0.66793535735332
45,0.35573636611773685,0.3521763090242229,0.9648685868194993
54,0.14835729861849292,0.5820433846457356,0.1999404529048871
35,0.12130112810947345,0.5308872091691441,0.24296636906130623
27,0.07450821585547025,0.08961904769837144,0.14076469716030804
24,0.1003656219472864,0.7766567966844706,0.42366525592686277
58,0.7527267095067718,0.6907091358568894,0.5394664944297437
30,0.032950383214957614,0.27136595004555186,0.3162939707830972
48,0.5220471996647046,0.7121744273783535,0.2825500572639195
58,0.5694186911507699,0.5497771409890373,0.8749652018566716
32,0.003596973031346407,0.6134176645307821,0.37453505478710813
15,0.8792913856426874,0.6434578951981722,0.1352523431335165
21,0.09472535066164102,0.3622039888449964,0.2855217106335982
49,0.111535199402392,0.5995206467434343,0.5824730901969897
10,0.6540549778023927,0.61775868583145,0.6495672222012883
23,0.9348031235214638,0.6222471455837828,0.2511314536907905
30,0.05551879139596901,0.9271617860029197,0.6223789817630219
13,0.1883231984785576,0.2897529774581731,0.32267802500462284
26,0.48436225262572197,0.2972254316212815,0.0018336548934304552
12,0.45009791291219303,0.7936534571613844,0.059273714759058516
32,0.5013716514332405,0.2372513543028944,0.1685770430646261
20,0.5552169044343369,0.33676010621546926,0.3886937120989654
52,0.2402830280811375,0.054316602837592536,0.005162925673676805
28,0.07380696151437285,0.08075188841722025,0.8206745196973446
20,0.09234164249328174,0.18762401608331208,0.04922529669211778
2,nan,0.6470677066590182,0.9447759733812152
28,0.3560188213904837,0.300078284095298,0.889875964885619
49,0.2402830280811375,0.9397865979743824,0.9648685868194993
44,0.04985012107596797,0.31136859492198765,0.3471088311395587
42,0.03368500880583624,0.7263769566636813,0.9247982163788796
57,0.17499413541563488,0.20471829742862183,0.12468812756013875
35,0.5564935505662203,0.03571890484621782,0.025021864609017935
31,0.28688348869814,0.4349861436228526,0.20957138880302534
43,0.802642895289257,0.9874403860145884,0.1084095615537755
12,0.34309882634923594,0.3120185892753615,0.23085923187089058
17,0.05483764554909802,0.47766068248752425,0.20713542085215372
36,0.6359170579042353,0.43048832284671934,0.24296636906130623
61,0.1003656219472864,0.20196414974312152,0.05366144000429185
28,0.18239534082732245,0.788865522640364,0.8476806823268924
11,0.8394928213661261,0.7610993565150765,0.38512645820262414
55,0.21950431346270238,0.014130417699741082,0.15423604448098624
14,0.1003656219472864,0.1003656219472864,0.15423604448098624
32,0.2012912773646583,0.897229644090652,0.41992697220250474
36,0.9148041683144317,0.3778635190277505,0.39787297935196153
2,nan,0.6470677066590182,0.9447759733812152
39,0.18380643241191041,0.5479501508336087,0.6958288642370746
20,0.14452609966359914,0.028074411673031794,0.011642373367085757
46,0.8998365956859304,0.15623105162611672,0.20231998601897422
27,0.3349941693798598,0.6563115615274486,0.7719854265259412
46,0.10475100625645441,0.6537741935218526,0.07931658537453377
65,0.006744771529507769,0.19273839124095865,0.6404548402871415
41,0.09234164249328174,0.1053477229621267,0.12989410232900506
23,0.802642895289257,0.0686929099937279,0.6178918280262935
56,0.25946936992853786,0.03786145931606977,0.006570618371105349
32,0.36257388702455096,0.43119491043425096,0.40881908952023194
3,nan,0.6781282577997529,0.5519122238772017
8,0.1003656219472864,0.1003656219472864,0.024209002202342084
17,0.5810131737709404,0.3369469943095119,0.17499413541563488
12,0.45009791291219303,0.4739756320828107,0.1883231984785576
14,0.35398333761993617,0.04235111606343787,0.10384052952246073
61,0.4979744144247943,0.3369469943095119,0.757528699864343
6,0.2709312922123218,0.2709312922123218,0.5372002924096654
49,0.45009791291219303,0.9297994024457079,0.021220644133224758
45,0.35573636611773685,0.3521763090242229,0.9648685868194993
21,0.2942140563079264,0.3378496702418362,0.3176955199894431
38,0.1003656219472864,0.13360431188977853,0.022588172380591853
48,0.01911764574368909,0.6155193242118198,0.8304946161837171
27,0.2012912773646583,0.6131486555654011,0.20957138880302534
27,0.058099619178808674,0.08968045647803025,0.03829049887630508
33,0.6359170579042353,0.8823718879271615,0.5226819111403139
60,0.09941288322147498,0.5180463855387023,0.8304946161837171
58,0.6864870716570238,0.03133401725755375,0.030508493550666586
28,0.7099206278927328,0.9899597295184989,0.9899597295184989
47,0.5268549482529812,0.12073424870958338,0.7241036435108112
13,0.6894609709293595,0.5653763038586208,0.752636478718364
43,0.12849715344293258,0.9798450130731293,0.3356744310134179
12,0.1003656219472864,0.1003656219472864,0.27794166371061063
62,0.1053477229621267,0.8452698052894374,0.13600324626328744
79,0.7623392575365604,0.6633257542362446,0.9548397533571387
32,0.4387948865691028,0.8713062743702293,0.06448807512897049
43,0.38280024542933966,0.8034793139066475,0.21950431346270238
13,0.5276481285383963,0.45009791291219303,0.9974889314340305
3,nan,0.04984326526395839,0.38157756369604023
63,0.6313917305184382,0.15291836038465537,0.6404548402871415
28,0.1003656219472864,0.9197696707707504,0.1815757703703732
7,nan,0.6745232444243708,0.4979744144247943
17,0.0761208166608983,0.08115893974567008,0.8749652018566716
45,0.32267802500462284,0.4507227261496679,0.20231998601897422
4,0.1644392846522091,0.18091368523296947,0.5997978188910353
61,0.18380643241191041,0.28851258969719185,0.6911525963694354
